City,MSA
Seattle,"Seattle-Tacoma-Bellevue, WA"
Tacoma,"Seattle-Tacoma-Bellevue, WA"
Bellevue,"Seattle-Tacoma-Bellevue, WA"
Redmond,"Seattle-Tacoma-Bellevue, WA"
Renton,"Seattle-Tacoma-Bellevue, WA"
Everett,"Seattle-Tacoma-Bellevue, WA"
Kent,"Seattle-Tacoma-Bellevue, WA"
Kirkland,"Seattle-Tacoma-Bellevue, WA"
Federal Way,"Seattle-Tacoma-Bellevue, WA"
Issaquah,"Seattle-Tacoma-Bellevue, WA"
Shoreline,"Seattle-Tacoma-Bellevue, WA"
Lynnwood,"Seattle-Tacoma-Bellevue, WA"
Washington,"Seattle-Tacoma-Bellevue, WA"
San Francisco,"San Francisco-Oakland-Hayward, CA"
Bay Area,"San Francisco-Oakland-Hayward, CA"
Oakland,"San Francisco-Oakland-Hayward, CA"
Berkeley,"San Francisco-Oakland-Hayward, CA"
San Jose,"San Francisco-Oakland-Hayward, CA"
Mountain View,"San Francisco-Oakland-Hayward, CA"
Sunnyvale,"San Francisco-Oakland-Hayward, CA"
Palo Alto,"San Francisco-Oakland-Hayward, CA"
Fremont,"San Francisco-Oakland-Hayward, CA"
Santa Clara,"San Francisco-Oakland-Hayward, CA"
Daly City,"San Francisco-Oakland-Hayward, CA"
Cupertino,"San Francisco-Oakland-Hayward, CA"
California,"San Francisco-Oakland-Hayward, CA"
New York,"New York-Newark-Jersey City, NY-NJ-PA"
Manhattan,"New York-Newark-Jersey City, NY-NJ-PA"
Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA"
Queens,"New York-Newark-Jersey City, NY-NJ-PA"
Bronx,"New York-Newark-Jersey City, NY-NJ-PA"
Jersey City,"New York-Newark-Jersey City, NY-NJ-PA"
Newark,"New York-Newark-Jersey City, NY-NJ-PA"
Hoboken,"New York-Newark-Jersey City, NY-NJ-PA"
Staten Island,"New York-Newark-Jersey City, NY-NJ-PA"
Yonkers,"New York-Newark-Jersey City, NY-NJ-PA"
White Plains,"New York-Newark-Jersey City, NY-NJ-PA"
Paterson,"New York-Newark-Jersey City, NY-NJ-PA"
Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA"
NYC,"New York-Newark-Jersey City, NY-NJ-PA"
New York State,"New York-Newark-Jersey City, NY-NJ-PA"
Boston,"Boston-Cambridge-Newton, MA-NH"
Cambridge,"Boston-Cambridge-Newton, MA-NH"
Newton,"Boston-Cambridge-Newton, MA-NH"
Somerville,"Boston-Cambridge-Newton, MA-NH"
